Type,SKU,Name,Published,Short description,Description,Regular price,Categories,Tags,Images
simple,Boné – 22182,BOINA BICO DE PATO AJUSTÁVEL,1,"BOINA · 4*preto, 
3*marrom, 
2*bege, 
1*caqui, 
1*cinza, 
1*camelo",,27.5,,"['Inverno', 'Tamanho ajustável']","images/boinas inverno/bone-22182/img_01.jpg, images/boinas inverno/bone-22182/img_02.jpg, images/boinas inverno/bone-22182/img_03.jpg, images/boinas inverno/bone-22182/img_04.jpg, images/boinas inverno/bone-22182/img_05.jpg, images/boinas inverno/bone-22182/img_06.jpg, images/boinas inverno/bone-22182/img_07.jpg, images/boinas inverno/bone-22182/img_08.jpg, images/boinas inverno/bone-22182/img_09.jpg"
simple,Boné – 25025,BOINA OITAVA INVERNO,1,"BOINA · 4*Preto, 
2*Bordéus, 
2*Cinza claro, 
1*Cinza escuro, 
1*Marinho, 
1*Marrom, 
1*Cáqui",,29.9,,"['Inverno', 'boina oitavada']","images/boinas inverno/bone-25025/img_01.jpg, images/boinas inverno/bone-25025/img_02.jpg, images/boinas inverno/bone-25025/img_03.jpg, images/boinas inverno/bone-25025/img_04.jpg, images/boinas inverno/bone-25025/img_05.jpg, images/boinas inverno/bone-25025/img_06.jpg, images/boinas inverno/bone-25025/img_07.jpg, images/boinas inverno/bone-25025/img_08.jpg, images/boinas inverno/bone-25025/img_09.jpg"
simple,Boné – 22195,BOINA OITAVA XADREZ,1,"BOINA · 4*branco, 3*ferrugem, 3*cinza, 2*mostarda",,29.9,,"['boina oitavada', 'Inverno', 'Mistura de lã']","images/boinas inverno/bone-22195/img_01.jpg, images/boinas inverno/bone-22195/img_02.jpg, images/boinas inverno/bone-22195/img_03.jpg, images/boinas inverno/bone-22195/img_04.jpg, images/boinas inverno/bone-22195/img_05.jpg, images/boinas inverno/bone-22195/img_06.jpg, images/boinas inverno/bone-22195/img_07.jpg"
simple,Boné – 25023,BOINA OITAVADA HARRINGBONE,1,"BOINA · 5*preto, 3*bege, 3*cinza, 1*marrom",,29.9,,"['boina oitavada', 'Inverno', 'Mistura de lã']","images/boinas inverno/bone-25023/img_01.jpg, images/boinas inverno/bone-25023/img_02.jpg, images/boinas inverno/bone-25023/img_03.jpg, images/boinas inverno/bone-25023/img_04.jpg, images/boinas inverno/bone-25023/img_05.jpg, images/boinas inverno/bone-25023/img_06.jpg, images/boinas inverno/bone-25023/img_07.jpg"
simple,Boné – 18456G,BOINA PIEMONTE HARRINGBONE,1,"BOINA · https://hologrammeparis.com/product/casquette-18456g/
https://hologrammeparis.com/product/casquette-18456ma/
https://hologrammeparis.com/product/casquette-18456v/",,45.0,,"['Fabricado na Itália', 'Inverno', 'Lã Pura']","images/boinas inverno/bone-18456g/img_01.jpg, images/boinas inverno/bone-18456g/img_02.jpg, images/boinas inverno/bone-18456g/img_03.jpg, images/boinas inverno/bone-18456g/img_04.jpg, images/boinas inverno/bone-18456g/img_05.jpg, images/boinas inverno/bone-18456g/img_06.jpg, images/boinas inverno/bone-18456g/img_07.jpg, images/boinas inverno/bone-18456g/img_08.jpg, images/boinas inverno/bone-18456g/img_09.jpg"
simple,Boné – 18439OL,BOINA PURE WOOL QUADRADOS,1,BOINA · https://hologrammeparis.com/product/casquette-18439ol/,,45.0,,"['Fabricado na Itália', 'Inverno', 'Lã Pura']","images/boinas inverno/bone-18439ol/img_01.jpg, images/boinas inverno/bone-18439ol/img_02.jpg, images/boinas inverno/bone-18439ol/img_03.jpg, images/boinas inverno/bone-18439ol/img_04.jpg"
simple,"Boné – 18438MC
18502MI",BOINA OITAVA HARRIS TWEED,1,BOINA · https://hologrammeparis.com/product/casquette-18502mi/,,85.0,,"['Fabricado na Itália', 'Harris Tweed', 'Inverno', 'Lã Pura']","images/boinas inverno/bone-18438mc-18502mi/img_01.jpg, images/boinas inverno/bone-18438mc-18502mi/img_02.jpg, images/boinas inverno/bone-18438mc-18502mi/img_03.jpg, images/boinas inverno/bone-18438mc-18502mi/img_04.jpg"
simple,"Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA",BOINA PIEMONTE BOMBAZINE,1,"BOINA · https://hologrammeparis.com/product/casquette-18106k/
https://hologrammeparis.com/product/casquette-18106c/
https://hologrammeparis.com/product/casquette-18106b/",,27.5,,"['Rótulo: Fabricado na Itália', 'bombazine']","images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_01.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_02.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_03.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_04.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_05.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_06.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_07.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_08.jpg, images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_09.jpg"
simple,Boné – 18153K,BOINA MISTURA DE LÃ QUADRADOS,1,BOINA · https://hologrammeparis.com/product/casquette-18153k/,,35.0,,['Rótulo: Fabricado na Itália'],"images/boinas inverno/bone-18153k/img_01.jpg, images/boinas inverno/bone-18153k/img_02.jpg, images/boinas inverno/bone-18153k/img_03.jpg, images/boinas inverno/bone-18153k/img_04.jpg, images/boinas inverno/bone-18153k/img_05.jpg"
simple,"Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA",BOINA PIEMONTE CASHMERE,1,"BOINA · https://hologrammeparis.com/product/casquette-18445k/
https://hologrammeparis.com/product/casquette-18445n/
https://hologrammeparis.com/product/casquette-18445gr/
https://hologrammeparis.com/product/casquette-18445ca/",,29.9,,"['Fabricado na Itália', 'Inverno', 'cashmere']","images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_01.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_02.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_03.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_04.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_05.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_06.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_07.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_08.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_09.jpg"
