Categoria_Excel,Categoria_Sheet,SKU_excel,SKU_sheet,Nome_excel,Nome_sheet,Preço_excel,Preço_sheet,price_match,Links_fornecedor_excel,URL fornecedor,Descrição longa,Notas internas
—,BOINAS INVERNO,,18220MI,,BOINA OITAVADA PURE WOOL,,45.0,SHEET_ONLY,,https://hologrammeparis.com/product/casquette-18220mi-new/,100% Pure Laine Shetland,
CHAPÉUS EM TECIDO,CHAPÉUS EM TECIDO,Bob – 2018120,Bob – 2018120,CHAPÉU SAFARI,CHAPÉU SAFARI,19.9,19.9,MATCH,https://hologrammeparis.com/product/bob-2018120/,https://hologrammeparis.com/product/bob-2018120/,"Paquet de 24 pcs assorties: 3*Noir, 3*Marine, 2*Kaki, 2*Bordeaux, 2*Rouge, 2*Rouille, 2*Bleu Royal, 2*Gris, 2*Moutarde, 2*Beige, 1*Camel, 1*Marron Clair",
CHAPÉUS EM TECIDO,CHAPÉUS EM TECIDO,Bob – 2018121,Bob – 2018121,BUCKT HAT ALGODÃO,BUCKT HAT ALGODÃO,14.9,14.9,MATCH,https://hologrammeparis.com/product/bob-2018121/,https://hologrammeparis.com/product/bob-2018121/,"Paquet de 24 pcs assorties: 3*Noir, 3*Marine, 2*Orange, 2*Beige, 2*Bleu Royal, 2*Moutarde, 2*Kaki, 2*Gris, 2*Bordeaux, 2*Rouge, 1*Camel, 1*Marron Clair",
FEMININO,FEMININO,Boina Clássica – 5020,Boina Clássica – 5020,BOINA CLÁSSICA / BERET,BOINA CLÁSSICA / BERET,14.9,14.9,MATCH,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302,"Notre version Hologramme Paris du ""Béret Uni classique"" Sobre, intemporel et sans logo apparent. 75g de Laine grattée et rasée *les nouvelles couleurs sont à 90% laine.",
FEMININO,FEMININO,Boné – 12625,Boné – 12625,BOINA COM PALA ALGODÃO,BOINA COM PALA ALGODÃO,24.9,24.9,MATCH,https://hologrammeparis.com/product/casquette-12625/,https://hologrammeparis.com/product/casquette-12625/,"Paquet de 24 pcs assorties: 2*Rouge, 2*Vert, 2*Bleu Ciel, 4*Camel, 4*Ecru, 3*Blanc, 3*Beige, 3*Marine, 1*Gris",
BOINAS VERÃO,BOINAS VERÃO,Boné – 12805,Boné – 12805,BOINA OITAVADA LINHO,BOINA OITAVADA LINHO,27.5,27.5,MATCH,https://hologrammeparis.com/product/casquette-12805/,https://hologrammeparis.com/product/casquette-12805/,"Paquet de 24 pcs assorties: 4*Noir, 4*Marine, 5*Gris, 4*Vert, 3*Camel, 4*Beige",
BONÉS,BONÉS,Boné – 15263,Boné – 15263,BONÉS TRUCKER,BONÉS TRUCKER,12.9,12.9,MATCH,https://hologrammeparis.com/fr/product/casquette-15263/,https://hologrammeparis.com/fr/product/casquette-15263/,Découvrez notre Casquette - 15263 au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS VERÃO,BOINAS VERÃO,"Boné – 15266F
Boné – 15266C","Boné – 15266F
Boné – 15266C",BOINA SEXTAVADA ALGODÃO,BOINA SEXTAVADA ALGODÃO,16.9,16.9,MATCH,"https://hologrammeparis.com/fr/product/casquette-15266c/
https://hologrammeparis.com/fr/product/casquette-15266f/",https://hologrammeparis.com/fr/product/casquette-15266f/,Paquet de 24 pcs assorties: 2 de chaque couleur,
BOINAS INVERNO,BOINAS INVERNO,"Boné – 18074
Boné – 18074K
Boné – 18074GC","Boné – 18074
Boné – 18074K
Boné – 18074GC",BOINA PIEMONTE MIX WOOL,BOINA PIEMONTE MIX WOOL,29.9,29.9,MATCH,"https://hologrammeparis.com/product/casquette-18074bl/
https://hologrammeparis.com/product/casquette-18074v/
https://hologrammeparis.com/product/casquette-18074gc/",https://hologrammeparis.com/product/casquette-18074bl/,Découvrez notre Casquette - 18074BL au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,"Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA","Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA",BOINA PIEMONTE BOMBAZINE,BOINA PIEMONTE BOMBAZINE,27.5,27.5,MATCH,"https://hologrammeparis.com/product/casquette-18106e/
https://hologrammeparis.com/product/casquette-18106k/
https://hologrammeparis.com/product/casquette-18106c/
https://hologrammeparis.com/product/casquette-18106b/",https://hologrammeparis.com/product/casquette-18106e/,Découvrez notre Casquette - 18106MI au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS VERÃO,BOINAS VERÃO,"Boné – 18107
Boné – 18515","Boné – 18107
Boné – 18515",BOINA LINHO QUADRADOS,"Tag: Fabricado na Itália, Linho",47.5,47.5,MATCH,"https://hologrammeparis.com/product/casquette-e18107bl/
https://hologrammeparis.com/fr/product/casquette-e18107bg/
https://hologrammeparis.com/fr/product/casquette-18515bg/
https://hologrammeparis.com/product/casquette-e18107gr/",https://hologrammeparis.com/product/casquette-e18107bl/,Découvrez notre Casquette - E18107BL au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS VERÃO,BOINAS VERÃO,"Boné – 18110EC
Boné – 18110OL","Boné – 18110EC
Boné – 18110OL",BOINA PIEMONTE LINHO E ALGODÃO,BOINA PIEMONTE LINHO E ALGODÃO,27.5,27.5,MATCH,"https://hologrammeparis.com/fr/product/casquette-18110ol/
https://hologrammeparis.com/product/casquette-18110ec/",https://hologrammeparis.com/product/casquette-18110ec/,Découvrez notre Casquette - 18110EC au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,Boné – 18153K,Boné – 18153K,BOINA MISTURA DE LÃ QUADRADOS,BOINA MISTURA DE LÃ QUADRADOS,35.0,35.0,MATCH,https://hologrammeparis.com/product/casquette-18153k/,https://hologrammeparis.com/product/casquette-18153k/,Découvrez notre Casquette - 18153K au prix de grossiste pour votre boutique sur Hologramme Paris.,
ARTIGOS EM PELE,ARTIGOS EM PELE,"Boné – 18161N
Boné – 18161M","Boné – 18161N
Boné – 18161M",BOINA SEXTAVADA PELE,BOINA SEXTAVADA PELE,89.9,89.9,MATCH,"https://hologrammeparis.com/product/casquette-18161m/
https://hologrammeparis.com/product/casquette-18161n/",https://hologrammeparis.com/product/casquette-18161n/,Découvrez notre Casquette - 18161N au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,"Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G","Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G",BOINA SEXTAVADA COM BOMBAZINE,BOINA SEXTAVADA COM BOMBAZINE,45.0,45.0,MATCH,"https://hologrammeparis.com/product/casquette-18279k/
https://hologrammeparis.com/product/casquette-18279mi/
https://hologrammeparis.com/product/casquette-18279ma/
https://hologrammeparis.com/product/casquette-18279bg/",https://hologrammeparis.com/product/casquette-18279k/,Découvrez notre Casquette - 18279K au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS VERÃO,—,Boné – 18410,,BOINA PIEMONTE RISCAS,,35.0,,EXCEL_ONLY,"https://hologrammeparis.com/product/casquette-18410bg/
https://hologrammeparis.com/product/casquette-18410ol/
https://hologrammeparis.com/product/casquette-18410bl/
https://hologrammeparis.com/product/casquette-18410bo/
https://hologrammeparis.com/fr/product/casquette-18410mi/
https://hologrammeparis.com/product/casquette-18410ma/",,,
BOINAS INVERNO,BOINAS INVERNO,"Boné – 18438MC
18502MI","Boné – 18438MC
18502MI",BOINA OITAVA HARRIS TWEED,BOINA OITAVA HARRIS TWEED,85.0,85.0,MATCH,"https://hologrammeparis.com/product/casquette-18438mc/
https://hologrammeparis.com/product/casquette-18502mi/",https://hologrammeparis.com/product/casquette-18438mc/,,
BOINAS INVERNO,BOINAS INVERNO,Boné – 18439OL,Boné – 18439OL,BOINA PURE WOOL QUADRADOS,BOINA PURE WOOL QUADRADOS,45.0,45.0,MATCH,https://hologrammeparis.com/product/casquette-18439ol/,https://hologrammeparis.com/product/casquette-18439ol/,Découvrez notre Casquette - 18439OL au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,Boné – 18440OL,Boné – 18440OL,BOINA OITAVADA PURE WOOL XADREZ,BOINA OITAVADA PURE WOOL XADREZ,45.0,45.0,MATCH,https://hologrammeparis.com/product/casquette-18440ol/,https://hologrammeparis.com/product/casquette-18440ol/,Découvrez notre Casquette - 18440OL au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,"Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA","Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA",BOINA PIEMONTE CASHMERE,BOINA PIEMONTE CASHMERE,29.9,29.9,MATCH,"https://hologrammeparis.com/product/casquette-18445k/
https://hologrammeparis.com/product/casquette-18445n/
https://hologrammeparis.com/product/casquette-18445gr/
https://hologrammeparis.com/product/casquette-18445ca/
https://hologrammeparis.com/product/casquette-18445mi/",https://hologrammeparis.com/product/casquette-18445mi/,Découvrez notre Casquette - 18445MI au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,Boné – 18456G,Boné – 18456G,BOINA PIEMONTE HARRINGBONE,BOINA PIEMONTE HARRINGBONE,45.0,45.0,MATCH,"https://hologrammeparis.com/product/casquette-18456g/
https://hologrammeparis.com/product/casquette-18456ma/
https://hologrammeparis.com/product/casquette-18456v/
https://hologrammeparis.com/product/casquette-18456mi/",https://hologrammeparis.com/product/casquette-18456mi/,Découvrez notre Casquette - 18456MI au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS VERÃO,BOINAS VERÃO,Boné – 18474,Boné – 18474,BOINA SEXTAVADA CORES NA PALA,BOINA SEXTAVADA CORES NA PALA,45.0,45.0,MATCH,"https://hologrammeparis.com/product/casquette-18474g/
https://hologrammeparis.com/product/casquette-18474ol/",https://hologrammeparis.com/product/casquette-18474ol/,Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,Boné – 18500MI,Boné – 18500MI,BOINA HARRIS TWEED QUADRADOS,BOINA HARRIS TWEED QUADRADOS,85.0,85.0,MATCH,https://hologrammeparis.com/product/casquette-18500mi/,https://hologrammeparis.com/product/casquette-18500mi/,Harris Tweed 100% Laine vierge,
BOINAS INVERNO,BOINAS INVERNO,Boné – 18501MI,Boné – 18501MI,BOINA HARRIS TWEED PATCHWORK,BOINA HARRIS TWEED PATCHWORK,85.0,85.0,MATCH,https://hologrammeparis.com/product/casquette-18501mi/,https://hologrammeparis.com/product/casquette-18501mi/,Harris Tweed 100% Laine vierge,
BOINAS INVERNO,BOINAS INVERNO,"Boné – 18508MI
18452","Boné – 18508MI
18452",BOINA SEXTAVADA PURE WOOL,BOINA SEXTAVADA PURE WOOL,55.0,55.0,MATCH,"https://hologrammeparis.com/product/casquette-18508k/
https://hologrammeparis.com/fr/product/casquette-18452mi/
https://hologrammeparis.com/fr/product/casquette-18452ma/
https://hologrammeparis.com/product/casquette-18508mi/",https://hologrammeparis.com/product/casquette-18508mi/,Découvrez notre Casquette - 18508MI au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS VERÃO,BOINAS VERÃO,Boné – 18521A,Boné – 18521A,BOINA PIEMONTE ALGODÃO,BOINA PIEMONTE ALGODÃO,35.0,35.0,MATCH,https://hologrammeparis.com/fr/product/casquette-18521a/,https://hologrammeparis.com/fr/product/casquette-18521a/,Découvrez notre Casquette - 18521A au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,Boné – 22174,Boné – 22174,BOINA OITAVADA HARRINGBONE,BOINA OITAVADA HARRINGBONE,29.9,29.9,MATCH,https://hologrammeparis.com/product/casquette-22174/,https://hologrammeparis.com/product/casquette-22174/,,
BOINAS INVERNO,BOINAS INVERNO,Boné – 22182,Boné – 22182,BOINA BICO DE PATO AJUSTÁVEL,BOINA BICO DE PATO AJUSTÁVEL,27.5,27.5,MATCH,https://hologrammeparis.com/product/casquette-22224/,https://hologrammeparis.com/product/casquette-22224/,"Paquet de 12 pcs assorties: 4*Noir, 3*Marron, 2*Beige, 1*Kaki, 1*Gris, 1*Camel",
BOINAS INVERNO,BOINAS INVERNO,Boné – 22195,Boné – 22195,BOINA OITAVA XADREZ,BOINA OITAVA XADREZ,29.9,29.9,MATCH,https://hologrammeparis.com/product/casquette-22195/,https://hologrammeparis.com/product/casquette-22195/,"Paquet de 12 pcs assorties: 4*Blanc, 3*Rouille, 3*Taupe, 2*Moutarde",
FEMININO,FEMININO,Boné – 22238,Boné – 22238,BOINA COM PALA PIED POULE,BOINA COM PALA PIED POULE,29.9,29.9,MATCH,https://hologrammeparis.com/product/casquette-22238/,https://hologrammeparis.com/product/casquette-22238/,"Paquet de 12 pcs assorties: 5*Gris Fonce, 4*Gris Clair, 3*Beige",
BOINAS INVERNO,BOINAS INVERNO,Boné – 25023,Boné – 25023,BOINA OITAVADA HARRINGBONE,BOINA OITAVADA HARRINGBONE,29.9,29.9,MATCH,https://hologrammeparis.com/product/casquette-25023/,https://hologrammeparis.com/product/casquette-25023/,"Paquet de 12 pcs assorties: 5*Noir, 3*Beige, 3*Gris, 1*Marron",
BOINAS INVERNO,BOINAS INVERNO,Boné – 25025,Boné – 25025,BOINA OITAVA INVERNO,BOINA OITAVA INVERNO,29.9,29.9,MATCH,https://hologrammeparis.com/product/casquette-25025/,https://hologrammeparis.com/product/casquette-25025/,"Paquet de 12 pcs assorties: 4*Noir, 2*Bordeaux, 2*Gris Clair, 1*Gris Fonce, 1*Marine, 1*Marron, 1*Kaki",
—,FEMININO,,Casquette – 12448,,BONÉS DE INVERNO PARA MULHERES,,15.0,SHEET_ONLY,,https://hologrammeparis.com/product/casquette-12448/,"Paquet de 24 pcs assorties: 2*Moutarde, 2*Marron, 3*Bordeaux, 3*Marine, 3*Vert, 3*Bleu, 3*Taupe, 5*Noir",
BOINAS VERÃO,BOINAS VERÃO,Casquette – 18534N,Casquette – 18534N,BOINA OITAVADA LINHO E ALGODÃO,"Étiquette : verão, Fabriqué en Italie, Linho, algodão",37.5,37.5,MATCH,https://hologrammeparis.com/fr/product/casquette-18534n/,,,
FEMININO,FEMININO,Casquette – 22103,Casquette – 22103,BOINA COM PALA INVERNO,BOINA COM PALA INVERNO,24.9,24.9,MATCH,https://hologrammeparis.com/product/casquette-22103/,https://hologrammeparis.com/product/casquette-22103/,Paquet de 24 pcs assorties: 2 pcs de chaque couleur,
—,GORROS,,Chapka – 6064,,GORRO USHANKA,,1.0,SHEET_ONLY,,https://hologrammeparis.com/product-category/chapellerie/collection-hiver/chapeaux-hiver/toques-chapkas/,Hologramme est un grossiste de Toques et Chapkas avec 40 ans d’expérience. Découvrez nos collections de chapeaux en fourrure au tarif de gros.,
