Categoria_Excel,Categoria_Sheet,MATCH,PRICE_DIFF,EXCEL_ONLY,SHEET_ONLY,TOTAL
ARTIGOS EM PELE,ARTIGOS EM PELE,4.0,0,0.0,0.0,4.0
BOINAS INVERNO,BOINAS INVERNO,19.0,0,0.0,0.0,19.0
BOINAS VERÃO,BOINAS VERÃO,7.0,0,0.0,0.0,7.0
BOINAS VERÃO,—,0.0,0,1.0,0.0,1.0
BONÉS,BONÉS,1.0,0,0.0,0.0,1.0
CHAPÉUS EM TECIDO,CHAPÉUS EM TECIDO,2.0,0,0.0,0.0,2.0
CHAPÉUS LÃ,CHAPÉUS LÃ,3.0,0,0.0,0.0,3.0
FEMININO,FEMININO,5.0,0,0.0,0.0,5.0
PALHA,PALHA,1.0,0,0.0,0.0,1.0
PANAMÁ,PANAMÁ,3.0,0,0.0,0.0,3.0
À PROVA D´ÁGUA,À PROVA D´ÁGUA,1.0,0,0.0,0.0,1.0
—,ARTIGOS EM PELE,0.0,0,0.0,1.0,1.0
—,BOINAS INVERNO,0.0,0,0.0,2.0,2.0
—,CERIMÓNIA,0.0,0,0.0,3.0,3.0
—,CHAPÉUS EM TECIDO,0.0,0,0.0,1.0,1.0
—,CHAPÉUS LÃ,0.0,0,0.0,1.0,1.0
—,CORTIÇA,0.0,0,0.0,1.0,1.0
—,COWBOY,0.0,0,0.0,1.0,1.0
—,DIVERSOS,0.0,0,0.0,1.0,1.0
—,FEMININO,0.0,0,0.0,3.0,3.0
—,GORROS,0.0,0,0.0,2.0,2.0
—,À PROVA D´ÁGUA,0.0,0,0.0,1.0,1.0
