Sheet,SKU,Nome,Preço,Descrição curta,Descrição longa,Tags,Cor,Tamanho,Composição,Pack,URL fornecedor,URLs extra,Imagens,Prioridade,Destaque homepage?,Notas internas
BOINAS INVERNO,Boné – 22182,BOINA BICO DE PATO AJUSTÁVEL,27.5,Tamanho ajustável,"Paquet de 12 pcs assorties: 4*Noir, 3*Marron, 2*Beige, 1*Kaki, 1*Gris, 1*Camel","Inverno, Tamanho ajustável",Sortido,Tamanho único ajustável,100% Poliéster,Pacote 12,https://hologrammeparis.com/product/casquette-22224/,,"images/boinas inverno/bone-22182/img_01.jpg, images/boinas inverno/bone-22182/img_02.jpg, images/boinas inverno/bone-22182/img_03.jpg, images/boinas inverno/bone-22182/img_04.jpg, images/boinas inverno/bone-22182/img_05.jpg, images/boinas inverno/bone-22182/img_06.jpg, images/boinas inverno/bone-22182/img_07.jpg, images/boinas inverno/bone-22182/img_08.jpg, images/boinas inverno/bone-22182/img_09.jpg",,,
BOINAS INVERNO,Boné – 25025,BOINA OITAVA INVERNO,29.9,,"Paquet de 12 pcs assorties: 4*Noir, 2*Bordeaux, 2*Gris Clair, 1*Gris Fonce, 1*Marine, 1*Marron, 1*Kaki","Inverno, boina oitavada",Sortido,"57 , 59","67,3% Poliéster – 32,7% Rayon",Pacote 12,https://hologrammeparis.com/product/casquette-25025/,,"images/boinas inverno/bone-25025/img_01.jpg, images/boinas inverno/bone-25025/img_02.jpg, images/boinas inverno/bone-25025/img_03.jpg, images/boinas inverno/bone-25025/img_04.jpg, images/boinas inverno/bone-25025/img_05.jpg, images/boinas inverno/bone-25025/img_06.jpg, images/boinas inverno/bone-25025/img_07.jpg, images/boinas inverno/bone-25025/img_08.jpg, images/boinas inverno/bone-25025/img_09.jpg",,,
BOINAS INVERNO,Boné – 22195,BOINA OITAVA XADREZ,29.9,,"Paquet de 12 pcs assorties: 4*Blanc, 3*Rouille, 3*Taupe, 2*Moutarde","boina oitavada, Inverno, Mistura de lã",Sortido,"57 , 59",70% Poliéster – 15% Algodão – 15% Lã,Pacote 12,https://hologrammeparis.com/product/casquette-22195/,,"images/boinas inverno/bone-22195/img_01.jpg, images/boinas inverno/bone-22195/img_02.jpg, images/boinas inverno/bone-22195/img_03.jpg, images/boinas inverno/bone-22195/img_04.jpg, images/boinas inverno/bone-22195/img_05.jpg, images/boinas inverno/bone-22195/img_06.jpg, images/boinas inverno/bone-22195/img_07.jpg",,,
BOINAS INVERNO,Boné – 25023,BOINA OITAVADA HARRINGBONE,29.9,,"Paquet de 12 pcs assorties: 5*Noir, 3*Beige, 3*Gris, 1*Marron","boina oitavada, Inverno, Mistura de lã",Sortido,"57 , 59","51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã",Pacote 12,https://hologrammeparis.com/product/casquette-25023/,,"images/boinas inverno/bone-25023/img_01.jpg, images/boinas inverno/bone-25023/img_02.jpg, images/boinas inverno/bone-25023/img_03.jpg, images/boinas inverno/bone-25023/img_04.jpg, images/boinas inverno/bone-25023/img_05.jpg, images/boinas inverno/bone-25023/img_06.jpg, images/boinas inverno/bone-25023/img_07.jpg",,,
BOINAS INVERNO,Boné – 18456G,BOINA PIEMONTE HARRINGBONE,45.0,Lã Pura,Découvrez notre Casquette - 18456MI au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno, Lã Pura","Marinho, Cinza, Castanho, Verde","55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18456mi/,"https://hologrammeparis.com/product/casquette-18456g/
https://hologrammeparis.com/product/casquette-18456ma/
https://hologrammeparis.com/product/casquette-18456v/","images/boinas inverno/bone-18456g/img_01.jpg, images/boinas inverno/bone-18456g/img_02.jpg, images/boinas inverno/bone-18456g/img_03.jpg, images/boinas inverno/bone-18456g/img_04.jpg, images/boinas inverno/bone-18456g/img_05.jpg, images/boinas inverno/bone-18456g/img_06.jpg, images/boinas inverno/bone-18456g/img_07.jpg, images/boinas inverno/bone-18456g/img_08.jpg, images/boinas inverno/bone-18456g/img_09.jpg, images/boinas inverno/bone-18456g/img_10.jpg, images/boinas inverno/bone-18456g/img_11.jpg, images/boinas inverno/bone-18456g/img_12.jpg, images/boinas inverno/bone-18456g/img_13.jpg, images/boinas inverno/bone-18456g/img_14.jpg, images/boinas inverno/bone-18456g/img_15.jpg, images/boinas inverno/bone-18456g/img_16.jpg",,,
BOINAS INVERNO,Boné – 18439OL,BOINA PURE WOOL QUADRADOS,45.0,Lã Pura,Découvrez notre Casquette - 18439OL au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno, Lã Pura",Oliva,"55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18439ol/,,"images/boinas inverno/bone-18439ol/img_01.jpg, images/boinas inverno/bone-18439ol/img_02.jpg, images/boinas inverno/bone-18439ol/img_03.jpg, images/boinas inverno/bone-18439ol/img_04.jpg",,,
BOINAS INVERNO,"Boné – 18438MC
18502MI",BOINA OITAVA HARRIS TWEED,85.0,Harris Tweed 100% lã virgem,,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",Multicolorido,"55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18438mc/,https://hologrammeparis.com/product/casquette-18502mi/,"images/boinas inverno/bone-18438mc-18502mi/img_01.jpg, images/boinas inverno/bone-18438mc-18502mi/img_02.jpg, images/boinas inverno/bone-18438mc-18502mi/img_03.jpg, images/boinas inverno/bone-18438mc-18502mi/img_04.jpg",,,
BOINAS INVERNO,"Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA",BOINA PIEMONTE BOMBAZINE,27.5,,Découvrez notre Casquette - 18106MI au prix de grossiste pour votre boutique sur Hologramme Paris.,"Rótulo: Fabricado na Itália, bombazine","Azul , Bege, Castanho, Cinza, Preto, Verde","55 , 56 , 57 , 58 , 59 , 60 , 61",100% algodão (BOMBAZINE),Unitário,https://hologrammeparis.com/product/casquette-18106e/,"https://hologrammeparis.com/product/casquette-18106k/
https://hologrammeparis.com/product/casquette-18106c/
https://hologrammeparis.com/product/casquette-18106b/",images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_01.jpg,,,
BOINAS INVERNO,Boné – 18153K,BOINA MISTURA DE LÃ QUADRADOS,35.0,,Découvrez notre Casquette - 18153K au prix de grossiste pour votre boutique sur Hologramme Paris.,Rótulo: Fabricado na Itália,Cáqui,"55 , 56 , 57 , 58 , 59 , 60 , 61",16% Poliéster – 25% Acrílico – 59% Lã,Unitário,https://hologrammeparis.com/product/casquette-18153k/,,"images/boinas inverno/bone-18153k/img_01.jpg, images/boinas inverno/bone-18153k/img_02.jpg, images/boinas inverno/bone-18153k/img_03.jpg, images/boinas inverno/bone-18153k/img_04.jpg",,,
BOINAS INVERNO,"Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA",BOINA PIEMONTE CASHMERE,29.9,WOOL & CASHEMERE,Découvrez notre Casquette - 18445MI au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno, cashmere","Marinho, Cáqui, Preto, Cinza, Camel","55 , 56 , 57 , 58 , 59 , 60 , 61",70% Lã – 20% Poliamida – 10% Caxemira,Unitário,https://hologrammeparis.com/product/casquette-18445mi/,"https://hologrammeparis.com/product/casquette-18445k/
https://hologrammeparis.com/product/casquette-18445n/
https://hologrammeparis.com/product/casquette-18445gr/
https://hologrammeparis.com/product/casquette-18445ca/","images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_01.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_02.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_03.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_04.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_05.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_06.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_07.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_08.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_09.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_10.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_11.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_12.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_13.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_14.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_15.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_16.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_17.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_18.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_19.jpg, images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_20.jpg",,,
