sheet,idx,brand,name,info,price,sku,description,extra,colors
BOINAS INVERNO,1,HOLOGRAMME,BOINA BICO DE PATO AJUSTÁVEL,Tamanho ajustável,27.5,Boné – 22182,"Tags: Inverno , Tamanho ajustável","COR	
Sortido

TAMANHO	
Tamanho único ajustável

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
100% Poliéster","4*preto, 
3*marrom, 
2*bege, 
1*caqui, 
1*cinza, 
1*camelo"
BOINAS INVERNO,4,HOLOGRAMME,BOINA OITAVA XADREZ,nan,29.9,Boné – 22195,"Tags: boina oitavada , Inverno, Mistura de lã","COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
70% Poliéster – 15% Algodão – 15% Lã","4*branco, 3*ferrugem, 3*cinza, 2*mostarda"
BOINAS INVERNO,6,HOLOGRAMME,BOINA OITAVADA HARRINGBONE,nan,29.9,Boné – 25023,"Tags: boina oitavada, Inverno, Mistura de lã","COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã","5*preto, 3*bege, 3*cinza, 1*marrom"
BOINAS INVERNO,8,HOLOGRAMME,BOINA PIEMONTE HARRINGBONE,Lã Pura,45.0,Boné – 18456G,"Tags: Fabricado na Itália , Inverno , Lã Pura","COR        
Marinho, Cinza, Castanho, Verde

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% Lã","https://hologrammeparis.com/product/casquette-18456g/
https://hologrammeparis.com/product/casquette-18456ma/
https://hologrammeparis.com/product/casquette-18456v/"
BOINAS INVERNO,45,Boné – 18439OL,"Tags: Fabricado na Itália , Inverno , 
Lã Pura","COR	
Oliva

TAMANHO	
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã",10.0,HOLOGRAMME,BOINA OITAVA HARRIS TWEED,Harris Tweed 100% lã virgem,https://hologrammeparis.com/product/casquette-18438mc/
BOINAS INVERNO,15,HOLOGRAMME,BOINA PIEMONTE BOMBAZINE,nan,27.5,"Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA","Rótulo: Fabricado na Itália, bombazine","COR        
Azul , Bege, Castanho, Cinza, Preto, Verde

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% algodão (BOMBAZINE)","https://hologrammeparis.com/product/casquette-18106k/
https://hologrammeparis.com/product/casquette-18106c/
https://hologrammeparis.com/product/casquette-18106b/"
BOINAS INVERNO,18,HOLOGRAMME,BOINA PIEMONTE CASHMERE,WOOL & CASHEMERE,29.9,"Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA","Tag: Fabricado na Itália , Inverno , cashmere","COR        
Marinho, Cáqui, Preto, Cinza, Camel

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
70% Lã – 20% Poliamida – 10% Caxemira","https://hologrammeparis.com/product/casquette-18445k/
https://hologrammeparis.com/product/casquette-18445n/
https://hologrammeparis.com/product/casquette-18445gr/
https://hologrammeparis.com/product/casquette-18445ca/"
BOINAS INVERNO,21,HOLOGRAMME,BOINA OITAVADA PURE WOOL XADREZ,nan,45.0,Boné – 18440OL,"Tags: Fabricado na Itália , Inverno , Lã Pura","COR	
Oliva

TAMANHO	
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã",nan
BOINAS INVERNO,24,HOLOGRAMME,CHAPÉUS MIKI / MARINHEIRO,nan,24.9,"Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",nan,"COR        
Azul celeste , camelo claro , camelo escuro , cinza escuro , cáqui , marinho , marrom , mostarda , preto , vermelho , verde

VENDIDO POR        
Unitário

COMPOSIÇÃO        
49% Viscose – 51% Lã",nan
BOINAS INVERNO,24.9,"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",Etiqueta: Fabricado em Portugal,"COR        
Borgonha , Camelo Claro , Camelo Escuro , Cinza Claro , Cinza Escuro , Cáqui , Marinho , Marrom , Marrom Escuro , Mostarda , Preto , Vermelho , Roxo

VENDIDO POR        
Unitário

COMPOSIÇÃO        
20% Poliamida – 80% Lã Merino",26.0,HOLOGRAMME,BOINA SEXTAVADA PURE WOOL,nan,https://hologrammeparis.com/product/casquette-18508mi/
