sheet,index,brand,name,info,sku,price,details,links
BOINAS INVERNO,1,HOLOGRAMME,BOINA BICO DE PATO AJUSTÁVEL,Tamanho ajustável,Boné – 22182,27.5,"27.5
Boné – 22182
Tags: Inverno , Tamanho ajustável
COR	
Sortido

TAMANHO	
Tamanho único ajustável

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
100% Poliéster
4*preto, 
3*marrom, 
2*bege, 
1*caqui, 
1*cinza, 
1*camelo",https://hologrammeparis.com/product/casquette-22224/
BOINAS INVERNO,2,HOLOGRAMME,BOINA OITAVA INVERNO,,Boné – 25025,29.9,"29.9
Boné – 25025
Tag: Inverno, boina oitavada
COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
67,3% Poliéster – 32,7% Rayon
4*Preto, 
2*Bordéus, 
2*Cinza claro, 
1*Cinza escuro, 
1*Marinho, 
1*Marrom, 
1*Cáqui",https://hologrammeparis.com/product/casquette-25025/
BOINAS INVERNO,4,HOLOGRAMME,BOINA OITAVA XADREZ,,Boné – 22195,29.9,"29.9
Boné – 22195
Tags: boina oitavada , Inverno, Mistura de lã
COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
70% Poliéster – 15% Algodão – 15% Lã
4*branco, 3*ferrugem, 3*cinza, 2*mostarda",https://hologrammeparis.com/product/casquette-22195/
BOINAS INVERNO,6,HOLOGRAMME,BOINA OITAVADA HARRINGBONE,,Boné – 25023,29.9,"29.9
Boné – 25023
Tags: boina oitavada, Inverno, Mistura de lã
COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã
5*preto, 3*bege, 3*cinza, 1*marrom",https://hologrammeparis.com/product/casquette-25023/
BOINAS INVERNO,8,HOLOGRAMME,BOINA PIEMONTE HARRINGBONE,Lã Pura,Boné – 18456G,45.0,"45
Boné – 18456G
Tags: Fabricado na Itália , Inverno , Lã Pura
COR        
Marinho, Cinza, Castanho, Verde

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% Lã","https://hologrammeparis.com/product/casquette-18456g/
https://hologrammeparis.com/product/casquette-18456ma/
https://hologrammeparis.com/product/casquette-18456v/
https://hologrammeparis.com/product/casquette-18456mi/"
BOINAS INVERNO,9,HOLOGRAMME,BOINA PURE WOOL QUADRADOS,Lã Pura,Boné – 18439OL,45.0,"45
Boné – 18439OL
Tags: Fabricado na Itália , Inverno , 
Lã Pura
COR	
Oliva

TAMANHO	
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã",https://hologrammeparis.com/product/casquette-18439ol/
BOINAS INVERNO,10,HOLOGRAMME,BOINA OITAVA HARRIS TWEED,Harris Tweed 100% lã virgem,"Boné – 18438MC
18502MI",85.0,"85
Boné – 18438MC
18502MI
Tags: Fabricado na Itália , Harris Tweed , Inverno , Lã Pura
COR	
Multicolorido

TAMANHO	
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã","https://hologrammeparis.com/product/casquette-18438mc/
https://hologrammeparis.com/product/casquette-18502mi/"
BOINAS INVERNO,15,HOLOGRAMME,BOINA PIEMONTE BOMBAZINE,,"Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA",27.5,"27.5
Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA
Rótulo: Fabricado na Itália, bombazine
COR        
Azul , Bege, Castanho, Cinza, Preto, Verde

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% algodão (BOMBAZINE)","https://hologrammeparis.com/product/casquette-18106e/
https://hologrammeparis.com/product/casquette-18106k/
https://hologrammeparis.com/product/casquette-18106c/
https://hologrammeparis.com/product/casquette-18106b/"
BOINAS INVERNO,16,HOLOGRAMME,BOINA MISTURA DE LÃ QUADRADOS,,Boné – 18153K,35.0,"35
Boné – 18153K
Rótulo: Fabricado na Itália
COR        
Cáqui

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
16% Poliéster – 25% Acrílico – 59% Lã",https://hologrammeparis.com/product/casquette-18153k/
BOINAS INVERNO,18,HOLOGRAMME,BOINA PIEMONTE CASHMERE,WOOL & CASHEMERE,"Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA",29.9,"29.9
Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA
Tag: Fabricado na Itália , Inverno , cashmere
COR        
Marinho, Cáqui, Preto, Cinza, Camel

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
70% Lã – 20% Poliamida – 10% Caxemira","https://hologrammeparis.com/product/casquette-18445k/
https://hologrammeparis.com/product/casquette-18445n/
https://hologrammeparis.com/product/casquette-18445gr/
https://hologrammeparis.com/product/casquette-18445ca/
https://hologrammeparis.com/product/casquette-18445mi/"
