sku,name,short_description,description_html,regular_price,sale_price,categories,tags,image_paths,attributes_json,stock,pack_info,external_url
BON-22182,BOINA BICO DE PATO AJUSTÁVEL,Tamanho ajustável,"<p>Tamanho ajustável</p><p>Paquet de 12 pcs assorties: 4*Noir, 3*Marron, 2*Beige, 1*Kaki, 1*Gris, 1*Camel</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: Tamanho único ajustável</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 100% Poliéster</li></ul>",27.50,,Chapéus > Boinas > Inverno,"Inverno, Tamanho ajustável",images/boinas inverno/bone-22182/img_01.jpg | images/boinas inverno/bone-22182/img_02.jpg | images/boinas inverno/bone-22182/img_03.jpg | images/boinas inverno/bone-22182/img_04.jpg | images/boinas inverno/bone-22182/img_05.jpg | images/boinas inverno/bone-22182/img_06.jpg | images/boinas inverno/bone-22182/img_07.jpg | images/boinas inverno/bone-22182/img_08.jpg | images/boinas inverno/bone-22182/img_09.jpg,"{""Cor"":""Sortido"",""Tamanho"":""Tamanho único ajustável"",""Composição"":""100% Poliéster"",""Pack"":""Pacote 12""}",10,Pacote 12,https://hologrammeparis.com/product/casquette-22224/
BON-25025,BOINA OITAVA INVERNO,"Boina oitavada em poliéster e rayon, cores sortidas","<p>Boina oitavada em poliéster e rayon, cores sortidas</p><p>Paquet de 12 pcs assorties: 4*Noir, 2*Bordeaux, 2*Gris Clair, 1*Gris Fonce, 1*Marine, 1*Marron, 1*Kaki</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 67,3% Poliéster – 32,7% Rayon</li></ul>",29.90,,Chapéus > Boinas > Inverno,"Inverno, boina oitavada",images/boinas inverno/bone-25025/img_01.jpg | images/boinas inverno/bone-25025/img_02.jpg | images/boinas inverno/bone-25025/img_03.jpg | images/boinas inverno/bone-25025/img_04.jpg | images/boinas inverno/bone-25025/img_05.jpg | images/boinas inverno/bone-25025/img_06.jpg | images/boinas inverno/bone-25025/img_07.jpg | images/boinas inverno/bone-25025/img_08.jpg | images/boinas inverno/bone-25025/img_09.jpg,"{""Cor"":""Sortido"",""Tamanho"":[""57"",""59""],""Composição"":""67,3% Poliéster – 32,7% Rayon"",""Pack"":""Pacote 12""}",10,Pacote 12,https://hologrammeparis.com/product/casquette-25025/
BON-22195,BOINA OITAVA XADREZ,"Boina oitavada xadrez com mistura de lã, cores sortidas","<p>Boina oitavada xadrez com mistura de lã, cores sortidas</p><p>Paquet de 12 pcs assorties: 4*Blanc, 3*Rouille, 3*Taupe, 2*Moutarde</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 70% Poliéster – 15% Algodão – 15% Lã</li></ul>",29.90,,Chapéus > Boinas > Inverno,"boina oitavada, Inverno, Mistura de lã",images/boinas inverno/bone-22195/img_01.jpg | images/boinas inverno/bone-22195/img_02.jpg | images/boinas inverno/bone-22195/img_03.jpg | images/boinas inverno/bone-22195/img_04.jpg | images/boinas inverno/bone-22195/img_05.jpg | images/boinas inverno/bone-22195/img_06.jpg | images/boinas inverno/bone-22195/img_07.jpg,"{""Cor"":""Sortido"",""Tamanho"":[""57"",""59""],""Composição"":""70% Poliéster – 15% Algodão – 15% Lã"",""Pack"":""Pacote 12""}",10,Pacote 12,https://hologrammeparis.com/product/casquette-22195/
BON-25023,BOINA OITAVADA HARRINGBONE,"Boina oitavada harringbone com mistura de lã, cores sortidas","<p>Boina oitavada harringbone com mistura de lã, cores sortidas</p><p>Paquet de 12 pcs assorties: 5*Noir, 3*Beige, 3*Gris, 1*Marron</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã</li></ul>",29.90,,Chapéus > Boinas > Inverno,"boina oitavada, Inverno, Mistura de lã",images/boinas inverno/bone-25023/img_01.jpg | images/boinas inverno/bone-25023/img_02.jpg | images/boinas inverno/bone-25023/img_03.jpg | images/boinas inverno/bone-25023/img_04.jpg | images/boinas inverno/bone-25023/img_05.jpg | images/boinas inverno/bone-25023/img_06.jpg | images/boinas inverno/bone-25023/img_07.jpg,"{""Cor"":""Sortido"",""Tamanho"":[""57"",""59""],""Composição"":""51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã"",""Pack"":""Pacote 12""}",10,Pacote 12,https://hologrammeparis.com/product/casquette-25023/
BON-18456G,BOINA PIEMONTE HARRINGBONE,Lã Pura,"<p>Lã Pura</p><p>Découvrez notre Casquette - 18456MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinho, Cinza, Castanho, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",45.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, Lã Pura",images/boinas inverno/bone-18456g/img_01.jpg | images/boinas inverno/bone-18456g/img_02.jpg | images/boinas inverno/bone-18456g/img_03.jpg | images/boinas inverno/bone-18456g/img_04.jpg | images/boinas inverno/bone-18456g/img_05.jpg | images/boinas inverno/bone-18456g/img_06.jpg | images/boinas inverno/bone-18456g/img_07.jpg | images/boinas inverno/bone-18456g/img_08.jpg | images/boinas inverno/bone-18456g/img_09.jpg | images/boinas inverno/bone-18456g/img_10.jpg | images/boinas inverno/bone-18456g/img_11.jpg | images/boinas inverno/bone-18456g/img_12.jpg | images/boinas inverno/bone-18456g/img_13.jpg | images/boinas inverno/bone-18456g/img_14.jpg | images/boinas inverno/bone-18456g/img_15.jpg | images/boinas inverno/bone-18456g/img_16.jpg,"{""Cor"":[""Marinho"",""Cinza"",""Castanho"",""Verde""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18456mi/
BON-18439OL,BOINA PURE WOOL QUADRADOS,Lã Pura,"<p>Lã Pura</p><p>Découvrez notre Casquette - 18439OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Oliva</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",45.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, Lã Pura",images/boinas inverno/bone-18439ol/img_01.jpg | images/boinas inverno/bone-18439ol/img_02.jpg | images/boinas inverno/bone-18439ol/img_03.jpg | images/boinas inverno/bone-18439ol/img_04.jpg,"{""Cor"":""Oliva"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18439ol/
BON-18438MC-18502MI,BOINA OITAVA HARRIS TWEED,Harris Tweed 100% lã virgem,"<p>Harris Tweed 100% lã virgem</p><p>Harris Tweed 100% Laine vierge</p><ul><li><strong>Cor</strong>: Multicolorido</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",85.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",images/boinas inverno/bone-18438mc-18502mi/img_01.jpg | images/boinas inverno/bone-18438mc-18502mi/img_02.jpg | images/boinas inverno/bone-18438mc-18502mi/img_03.jpg | images/boinas inverno/bone-18438mc-18502mi/img_04.jpg,"{""Cor"":""Multicolorido"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18438mc/
BON-18106MI-BON-18106K-BON-18106G-18106M,BOINA PIEMONTE BOMBAZINE,"Boina Piemonte em 100% algodão bombazine, fabricada na Itália","<p>Boina Piemonte em 100% algodão bombazine, fabricada na Itália</p><p>Découvrez notre Casquette - 18106MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul , Bege, Castanho, Cinza, Preto, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% algodão (BOMBAZINE)</li></ul>",27.50,,Chapéus > Boinas > Inverno,"Rótulo: Fabricado na Itália, bombazine",images/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_01.jpg,"{""Cor"":[""Azul"",""Bege"",""Castanho"",""Cinza"",""Preto"",""Verde""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% algodão (BOMBAZINE)"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18106e/
BON-18153K,BOINA MISTURA DE LÃ QUADRADOS,"Boina com mistura de lã e padrão quadrados, fabricada na Itália","<p>Boina com mistura de lã e padrão quadrados, fabricada na Itália</p><p>Découvrez notre Casquette - 18153K au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Cáqui</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 16% Poliéster – 25% Acrílico – 59% Lã</li></ul>",35.00,,Chapéus > Boinas > Inverno,Rótulo: Fabricado na Itália,images/boinas inverno/bone-18153k/img_01.jpg | images/boinas inverno/bone-18153k/img_02.jpg | images/boinas inverno/bone-18153k/img_03.jpg | images/boinas inverno/bone-18153k/img_04.jpg,"{""Cor"":""Cáqui"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""16% Poliéster – 25% Acrílico – 59% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18153k/
BON-18445MI-BON-18445K-BON-18445N-BON-18,BOINA PIEMONTE CASHMERE,WOOL &amp; CASHEMERE,"<p>WOOL &amp; CASHEMERE</p><p>Découvrez notre Casquette - 18445MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinho, Cáqui, Preto, Cinza, Camel</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 70% Lã – 20% Poliamida – 10% Caxemira</li></ul>",29.90,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, cashmere",images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_01.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_02.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_03.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_04.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_05.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_06.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_07.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_08.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_09.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_10.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_11.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_12.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_13.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_14.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_15.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_16.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_17.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_18.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_19.jpg | images/boinas inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_20.jpg,"{""Cor"":[""Marinho"",""Cáqui"",""Preto"",""Cinza"",""Camel""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""70% Lã – 20% Poliamida – 10% Caxemira"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18445mi/
