sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
,,,BOINAS INVERNO,18220MI,45.0,right_only,
,,,COWBOY,Algodão 4974,,right_only,
,,,BONÉS,Boné Veludo – 22138 (ou 2019110),,right_only,
,,,FEMININO,Boné – 12463,,right_only,
,,,BONÉS,"Boné – 12614
Boné – 15112",,right_only,
,,,BONÉS,Boné – 12694,,right_only,
,,,BONÉS,Boné – 12849,,right_only,
,,,FEMININO,Boné – 13156,,right_only,
,,,COWBOY,Boné – 15114,,right_only,
,,,BONÉS,Boné – 15116,,right_only,
,,,COWBOY,Boné – 15125,,right_only,
,,,BONÉS,Boné – 15165,,right_only,
,,,BOINAS VERÃO,"Boné – 15266F
Boné – 15266C",16.9,right_only,
,,,BOINAS INVERNO,"Boné – 18074
Boné – 18074K
Boné – 18074GC",29.9,right_only,
,,,BOINAS VERÃO,"Boné – 18107
Boné – 18515",47.5,right_only,
,,,COWBOY,Boné – 18110EC,,right_only,
,,,BOINAS VERÃO,"Boné – 18110EC
Boné – 18110OL",27.5,right_only,
,,,BOINAS INVERNO,Boné – 18153K,35.0,right_only,
BOINAS VERÃO,Boné – 18410,35.0,,,,left_only,
,,,BOINAS INVERNO,"Boné – 18438MC
18502MI",85.0,right_only,
,,,BOINAS INVERNO,Boné – 18439OL,45.0,right_only,
,,,BOINAS VERÃO,Boné – 18474,45.0,right_only,
,,,BOINAS INVERNO,Boné – 18501MI,85.0,right_only,
,,,BOINAS INVERNO,"Boné – 18508MI
18452",55.0,right_only,
,,,FEMININO,Boné – 2018016,,right_only,
,,,CERIMÓNIA,Boné – 2018016,,right_only,
,,,FEMININO,Boné – 2018039,,right_only,
,,,CERIMÓNIA,Boné – 2018039,,right_only,
,,,BONÉS,Boné – 22134,,right_only,
,,,BONÉS,Boné – 22134,,right_only,
,,,BOINAS INVERNO,Boné – 22174,29.9,right_only,
,,,FEMININO,Boné – 22238,29.9,right_only,
,,,BOINAS INVERNO,Boné – 25025,29.9,right_only,
,,,FEMININO,Casquette – 12448,15.0,right_only,
,,,CERIMÓNIA,Casquette – 12448,15.0,right_only,
,,,FEMININO,Casquette – 22103,24.9,right_only,
,,,CERIMÓNIA,Casquette – 22103,14.0,right_only,
,,,GORROS,Chapka – 6064,1.0,right_only,
,,,CHAPÉUS LÃ,"Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável",67.5,right_only,
,,,GORROS,Chapéu – 49171,2.0,right_only,
,,,GORROS,Chapéu – 49171,3.0,right_only,
,,,ARTIGOS EM PELE,Gants – 17119,35.0,right_only,
,,,ARTIGOS EM PELE,Gants – 17120,35.0,right_only,
,,,BOINAS INVERNO,"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",24.9,right_only,
,,,FEMININO,"Gorro – 5942F
Bonnet – 5942C",19.9,right_only,
,,,COWBOY,"Gorro – Miki 12601
Gorro – 640182503",,right_only,
BOINAS INVERNO,HOLOGRAMME,10.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-55.0
BOINAS INVERNO,HOLOGRAMME,10.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-2.0
BOINAS INVERNO,HOLOGRAMME,10.0,VISEIRAS,HOLOGRAMME,2.0,both,8.0
BOINAS INVERNO,HOLOGRAMME,10.0,COWBOY,HOLOGRAMME,8.0,both,2.0
BOINAS INVERNO,HOLOGRAMME,26.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-39.0
BOINAS INVERNO,HOLOGRAMME,26.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,14.0
BOINAS INVERNO,HOLOGRAMME,26.0,VISEIRAS,HOLOGRAMME,2.0,both,24.0
BOINAS INVERNO,HOLOGRAMME,26.0,COWBOY,HOLOGRAMME,8.0,both,18.0
BOINAS INVERNO,HOLOGRAMME,29.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-36.0
BOINAS INVERNO,HOLOGRAMME,29.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,17.0
BOINAS INVERNO,HOLOGRAMME,29.0,VISEIRAS,HOLOGRAMME,2.0,both,27.0
BOINAS INVERNO,HOLOGRAMME,29.0,COWBOY,HOLOGRAMME,8.0,both,21.0
BOINAS INVERNO,HOLOGRAMME,33.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-32.0
BOINAS INVERNO,HOLOGRAMME,33.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,21.0
BOINAS INVERNO,HOLOGRAMME,33.0,VISEIRAS,HOLOGRAMME,2.0,both,31.0
BOINAS INVERNO,HOLOGRAMME,33.0,COWBOY,HOLOGRAMME,8.0,both,25.0
BOINAS VERÃO,HOLOGRAMME,8.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-57.0
BOINAS VERÃO,HOLOGRAMME,8.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-4.0
BOINAS VERÃO,HOLOGRAMME,8.0,VISEIRAS,HOLOGRAMME,2.0,both,6.0
ARTIGOS EM PELE,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
ARTIGOS EM PELE,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
ARTIGOS EM PELE,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
GORROS,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
GORROS,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
GORROS,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-62.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-9.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,VISEIRAS,HOLOGRAMME,2.0,both,1.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,COWBOY,HOLOGRAMME,8.0,both,-5.0
FEMININO,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
FEMININO,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
FEMININO,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
FEMININO,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
FEMININO,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
FEMININO,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
FEMININO,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
FEMININO,HOLOGRAMME,7.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-58.0
FEMININO,HOLOGRAMME,7.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-5.0
FEMININO,HOLOGRAMME,7.0,VISEIRAS,HOLOGRAMME,2.0,both,5.0
FEMININO,HOLOGRAMME,7.0,COWBOY,HOLOGRAMME,8.0,both,-1.0
FEMININO,HOLOGRAMME,14.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-51.0
FEMININO,HOLOGRAMME,14.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,2.0
FEMININO,HOLOGRAMME,14.0,VISEIRAS,HOLOGRAMME,2.0,both,12.0
FEMININO,HOLOGRAMME,14.0,COWBOY,HOLOGRAMME,8.0,both,6.0
FEMININO,HOLOGRAMME,16.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-49.0
FEMININO,HOLOGRAMME,16.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,4.0
FEMININO,HOLOGRAMME,16.0,VISEIRAS,HOLOGRAMME,2.0,both,14.0
FEMININO,HOLOGRAMME,16.0,COWBOY,HOLOGRAMME,8.0,both,8.0
FEMININO,HOLOGRAMME,18.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-47.0
FEMININO,HOLOGRAMME,18.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,6.0
FEMININO,HOLOGRAMME,18.0,VISEIRAS,HOLOGRAMME,2.0,both,16.0
FEMININO,HOLOGRAMME,18.0,COWBOY,HOLOGRAMME,8.0,both,10.0
FEMININO,HOLOGRAMME,21.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-44.0
FEMININO,HOLOGRAMME,21.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,9.0
FEMININO,HOLOGRAMME,21.0,VISEIRAS,HOLOGRAMME,2.0,both,19.0
FEMININO,HOLOGRAMME,21.0,COWBOY,HOLOGRAMME,8.0,both,13.0
CERIMÓNIA,HOLOGRAMME,5.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-60.0
CERIMÓNIA,HOLOGRAMME,5.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-7.0
CERIMÓNIA,HOLOGRAMME,5.0,VISEIRAS,HOLOGRAMME,2.0,both,3.0
CERIMÓNIA,HOLOGRAMME,5.0,COWBOY,HOLOGRAMME,8.0,both,-3.0
CERIMÓNIA,HOLOGRAMME,7.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-58.0
CERIMÓNIA,HOLOGRAMME,7.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-5.0
CERIMÓNIA,HOLOGRAMME,7.0,VISEIRAS,HOLOGRAMME,2.0,both,5.0
CERIMÓNIA,HOLOGRAMME,7.0,COWBOY,HOLOGRAMME,8.0,both,-1.0
