sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
,,,BOINAS INVERNO,18220MI,45.0,right_only,
,,,COWBOY,Algodão 4974,,right_only,
,,,BONÉS,Boné Veludo – 22138 (ou 2019110),,right_only,
,,,FEMININO,Boné – 12463,,right_only,
,,,BONÉS,"Boné – 12614
Boné – 15112",,right_only,
,,,BONÉS,Boné – 12694,,right_only,
,,,BONÉS,Boné – 12849,,right_only,
,,,FEMININO,Boné – 13156,,right_only,
,,,COWBOY,Boné – 15114,,right_only,
,,,BONÉS,Boné – 15116,,right_only,
,,,COWBOY,Boné – 15125,,right_only,
,,,BONÉS,Boné – 15165,,right_only,
,,,BOINAS VERÃO,"Boné – 15266F
Boné – 15266C",16.9,right_only,
,,,BOINAS INVERNO,"Boné – 18074
Boné – 18074K
Boné – 18074GC",29.9,right_only,
,,,BOINAS VERÃO,"Boné – 18107
Boné – 18515",47.5,right_only,
,,,COWBOY,Boné – 18110EC,,right_only,
,,,BOINAS VERÃO,"Boné – 18110EC
Boné – 18110OL",27.5,right_only,
,,,BOINAS INVERNO,Boné – 18153K,35.0,right_only,
BOINAS VERÃO,Boné – 18410,35.0,,,,left_only,
,,,BOINAS INVERNO,"Boné – 18438MC
18502MI",85.0,right_only,
,,,BOINAS INVERNO,Boné – 18439OL,45.0,right_only,
,,,BOINAS VERÃO,Boné – 18474,45.0,right_only,
,,,BOINAS INVERNO,Boné – 18501MI,85.0,right_only,
,,,BOINAS INVERNO,"Boné – 18508MI
18452",55.0,right_only,
,,,FEMININO,Boné – 2018016,,right_only,
,,,CERIMÓNIA,Boné – 2018016,,right_only,
,,,FEMININO,Boné – 2018039,,right_only,
,,,CERIMÓNIA,Boné – 2018039,,right_only,
,,,BONÉS,Boné – 22134,,right_only,
,,,BONÉS,Boné – 22134,,right_only,
,,,BOINAS INVERNO,Boné – 22174,29.9,right_only,
,,,FEMININO,Boné – 22238,29.9,right_only,
,,,BOINAS INVERNO,Boné – 25025,29.9,right_only,
,,,FEMININO,Casquette – 12448,15.0,right_only,
,,,CERIMÓNIA,Casquette – 12448,15.0,right_only,
,,,FEMININO,Casquette – 22103,24.9,right_only,
,,,CERIMÓNIA,Casquette – 22103,14.0,right_only,
,,,GORROS,Chapka – 6064,1.0,right_only,
,,,CHAPÉUS LÃ,"Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável",67.5,right_only,
,,,GORROS,Chapéu – 49171,2.0,right_only,
,,,GORROS,Chapéu – 49171,3.0,right_only,
,,,ARTIGOS EM PELE,Gants – 17119,35.0,right_only,
,,,ARTIGOS EM PELE,Gants – 17120,35.0,right_only,
,,,BOINAS INVERNO,"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",24.9,right_only,
,,,FEMININO,"Gorro – 5942F
Bonnet – 5942C",19.9,right_only,
,,,COWBOY,"Gorro – Miki 12601
Gorro – 640182503",,right_only,
,,,FEMININO,Palha – 12403,3.0,right_only,
,,,FEMININO,Palha – 12511,,right_only,
,,,CERIMÓNIA,Palha – 12511,,right_only,
,,,FEMININO,Palha – 12512,,right_only,
,,,CERIMÓNIA,Palha – 12512,,right_only,
,,,FEMININO,Palha – 12517,,right_only,
,,,CERIMÓNIA,Palha – 12517,,right_only,
,,,FEMININO,Palha – 12673,,right_only,
,,,CERIMÓNIA,Palha – 12673,,right_only,
,,,CERIMÓNIA,Palha – 937,,right_only,
,,,PANAMÁ,Panamá – 201752,67.5,right_only,
,,,PANAMÁ,Panamá – 931,67.5,right_only,
,,,FEMININO,Viseira – 23119,,right_only,
,,,CERIMÓNIA,Viseira – 23119,,right_only,
