sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
,,,COWBOY,Algodão 4974,,right_only,
,,,BONÉS,Boné Veludo – 22138 (ou 2019110),,right_only,
,,,FEMININO,Boné – 12463,,right_only,
,,,BONÉS,"Boné – 12614
Boné – 15112",,right_only,
,,,FEMININO,Boné – 12625,24.9,right_only,
,,,CERIMÓNIA,Boné – 12625,,right_only,
,,,BONÉS,Boné – 12694,,right_only,
,,,BONÉS,Boné – 12849,,right_only,
,,,FEMININO,Boné – 13156,,right_only,
,,,COWBOY,Boné – 15114,,right_only,
,,,BONÉS,Boné – 15116,,right_only,
,,,COWBOY,Boné – 15125,,right_only,
,,,BONÉS,Boné – 15165,,right_only,
,,,COWBOY,Boné – 18110EC,,right_only,
BOINAS VERÃO,Boné – 18410,35.0,,,,left_only,
,,,FEMININO,Boné – 2018016,,right_only,
,,,CERIMÓNIA,Boné – 2018016,,right_only,
,,,FEMININO,Boné – 2018039,,right_only,
,,,CERIMÓNIA,Boné – 2018039,,right_only,
,,,BONÉS,Boné – 22134,,right_only,
,,,BONÉS,Boné – 22134,,right_only,
,,,FEMININO,Casquette – 12448,15.0,right_only,
,,,CERIMÓNIA,Casquette – 12448,15.0,right_only,
,,,FEMININO,Casquette – 22103,24.9,right_only,
,,,CERIMÓNIA,Casquette – 22103,14.0,right_only,
,,,GORROS,Chapka – 6064,1.0,right_only,
,,,GORROS,Chapéu – 49171,2.0,right_only,
,,,GORROS,Chapéu – 49171,3.0,right_only,
,,,COWBOY,"Gorro – Miki 12601
Gorro – 640182503",,right_only,
GORROS,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
GORROS,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
GORROS,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
GORROS,HOLOGRAMME,3.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-62.0
GORROS,HOLOGRAMME,3.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-9.0
GORROS,HOLOGRAMME,3.0,VISEIRAS,HOLOGRAMME,2.0,both,1.0
GORROS,HOLOGRAMME,3.0,COWBOY,HOLOGRAMME,8.0,both,-5.0
FEMININO,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
FEMININO,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
FEMININO,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
FEMININO,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
FEMININO,HOLOGRAMME,5.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-60.0
FEMININO,HOLOGRAMME,5.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-7.0
FEMININO,HOLOGRAMME,5.0,VISEIRAS,HOLOGRAMME,2.0,both,3.0
FEMININO,HOLOGRAMME,5.0,COWBOY,HOLOGRAMME,8.0,both,-3.0
FEMININO,HOLOGRAMME,13.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-52.0
FEMININO,HOLOGRAMME,13.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,1.0
FEMININO,HOLOGRAMME,13.0,VISEIRAS,HOLOGRAMME,2.0,both,11.0
FEMININO,HOLOGRAMME,13.0,COWBOY,HOLOGRAMME,8.0,both,5.0
FEMININO,HOLOGRAMME,14.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-51.0
FEMININO,HOLOGRAMME,14.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,2.0
FEMININO,HOLOGRAMME,14.0,VISEIRAS,HOLOGRAMME,2.0,both,12.0
FEMININO,HOLOGRAMME,14.0,COWBOY,HOLOGRAMME,8.0,both,6.0
FEMININO,HOLOGRAMME,15.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-50.0
FEMININO,HOLOGRAMME,15.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,3.0
FEMININO,HOLOGRAMME,15.0,VISEIRAS,HOLOGRAMME,2.0,both,13.0
FEMININO,HOLOGRAMME,15.0,COWBOY,HOLOGRAMME,8.0,both,7.0
