Sheet,SKU,Preço,URL fornecedor,Descrição longa,Notas internas
BOINAS INVERNO,18220MI,45.0,https://hologrammeparis.com/product/casquette-18220mi-new/,100% Pure Laine Shetland,
BOINAS INVERNO,HOLOGRAMME,65.0,https://hologrammeparis.com/fr/product/casquette-pierre-cardin-noir/,Découvrez notre Casquette - Pierre Cardin Noir au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS VERÃO,HOLOGRAMME,12.0,https://hologrammeparis.com/product/casquette-18410bg/,Découvrez notre Casquette - 18410BG au prix de grossiste pour votre boutique sur Hologramme Paris.,
ARTIGOS EM PELE,chapeu-australiano,67.5,,,
CORTIÇA,VELEN,29.9,https://www.montado.pt/produto/bone-de-cortica-natural,"Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.",
CORTIÇA,VELEN,35.0,https://vips-velen.pt/?product=boina-bico-de-pato-com-rede-lateral-em-cortica,,
CORTIÇA,VELEN,Etiqueta: Fabricado em Portugal,https://vips-velen.pt/?product=boina-bico-de-pato-com-rede-lateral-em-cortica,,
CORTIÇA,VELEN,65.0,https://vips-velen.pt/?product=chapeu-cowboy-em-cortica,,
CORTIÇA,VELEN,35.0,https://vips-velen.pt/?product=panama-em-cortica,,
CORTIÇA,VELEN,59.9,https://vips-velen.pt/?product=chapeu-de-cowboy-em-cortica-com-rede-beige,,
CORTIÇA,VELEN,35.0,https://vips-velen.pt/?product=chapeu-safari-em-cortica,,
CORTIÇA,VELEN,45.0,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,,
GORROS,bonnet-pierre-cardin,"Étiquettes : Fabriqué en Chine, Hiver 2024",https://hologrammeparis.com/fr/product/bonnet-pierre-cardin-bonnet/,Découvrez notre Bonnet - Pierre Cardin au prix de grossiste pour votre boutique sur Hologramme Paris.,
CHAPÉUS LÃ,"Tags: Fabricado na Itália , Lã Pura",35.0,https://hologrammeparis.com/product/chapeau-art-02-pack-12/,"Notre version Hologramme Paris du ""Fedora classique"" Chapeau avec une ceinture contrastante marron, 100 g de pure laine. Sobre et sans logo apparent. 100% Laine et fabrication italienne",
CHAPÉUS LÃ,"Tags: Fabricado na Itália , Lã Pura",35.0,https://hologrammeparis.com/product/chapeau-art-01-gros-grain-pack-12/,"Notre version Hologramme Paris du ""Fedora classique"" Chapeau avec un Ruban ton sur ton, 100 g de pure laine. Sobre et sans logo apparent.",
DIVERSOS,"chapeu colonial
pith helmet",45.0,,,
FEMININO,chapeu-cloche,35.0,,,
CERIMÓNIA,casquete,1.0,,,
CERIMÓNIA,chapeu-cerimonia-perolas,2.0,,,
CERIMÓNIA,chapeu-cerimonia-flores,3.0,,,
À PROVA D´ÁGUA,SOLID,55.0,,,
À PROVA D´ÁGUA,SOLID,55.0,,,
PROTEÇÃO SOLAR,SOLID,27.5,,,
PROTEÇÃO SOLAR,SOLID,19.9,,,
CHAPÉUS EM TECIDO,bucket-hat-reversivel,19.9,,,
VISEIRAS,HOLOGRAMME,2.0,,,
COWBOY,chapeu-cowboy,1.0,,,
COWBOY,chapeu-cowboy,2.0,,,
COWBOY,Boné – 15125,"Tags: Verão 2023 , Fabricado na China",https://hologrammeparis.com/product/casquette-12849/,"Paquet de 24 pcs assorties: 3*Noir, 3*Gris Clair, 3*Marine, 4*Beige, 2*Bleu Canard, 2*Rouge, 2*Jean, 2*Gris Fonce, 2*Blanc, 1*Moutarde",
COWBOY,Algodão 4974,Etiqueta: Fabricado em Portugal,https://hologrammeparis.com/product/bonnet-4974/,Découvrez notre Bonnet - Coton 4974 au prix de grossiste pour votre boutique sur Hologramme Paris.,
COWBOY,HOLOGRAMME,8.0,https://hologrammeparis.com/product/casquette-18474ol/,Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.,
