ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,simple,Boné – 22182,BOINA BICO DE PATO AJUSTÁVEL,1,0,visible,Tamanho ajustável,"<p>Tamanho ajustável</p><p>Paquet de 12 pcs assorties: 4*Noir, 3*Marron, 2*Beige, 1*Kaki, 1*Gris, 1*Camel</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: Tamanho único ajustável</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 100% Poliéster</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,27.5,Chapéus > Boinas > Inverno,"Inverno, Tamanho ajustável",,"catalogo2025/boinas%20inverno/bone-22182/img_01.jpg, catalogo2025/boinas%20inverno/bone-22182/img_02.jpg, catalogo2025/boinas%20inverno/bone-22182/img_03.jpg, catalogo2025/boinas%20inverno/bone-22182/img_04.jpg, catalogo2025/boinas%20inverno/bone-22182/img_05.jpg, catalogo2025/boinas%20inverno/bone-22182/img_06.jpg, catalogo2025/boinas%20inverno/bone-22182/img_07.jpg, catalogo2025/boinas%20inverno/bone-22182/img_08.jpg, catalogo2025/boinas%20inverno/bone-22182/img_09.jpg",,,,,,,https://hologrammeparis.com/product/casquette-22224/,,0,Cor,Sortido,1,1,Tamanho,Tamanho único ajustável,1,1,Composição,100% Poliéster,1,1,Pack,Pacote 12,1,1
,simple,Boné – 25025,BOINA OITAVA INVERNO,1,0,visible,"Boina oitavada em poliéster e rayon, cores sortidas","<p>Boina oitavada em poliéster e rayon, cores sortidas</p><p>Paquet de 12 pcs assorties: 4*Noir, 2*Bordeaux, 2*Gris Clair, 1*Gris Fonce, 1*Marine, 1*Marron, 1*Kaki</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 67,3% Poliéster – 32,7% Rayon</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,29.9,Chapéus > Boinas > Inverno,"Inverno, boina oitavada",,"catalogo2025/boinas%20inverno/bone-25025/img_01.jpg, catalogo2025/boinas%20inverno/bone-25025/img_02.jpg, catalogo2025/boinas%20inverno/bone-25025/img_03.jpg, catalogo2025/boinas%20inverno/bone-25025/img_04.jpg, catalogo2025/boinas%20inverno/bone-25025/img_05.jpg, catalogo2025/boinas%20inverno/bone-25025/img_06.jpg, catalogo2025/boinas%20inverno/bone-25025/img_07.jpg, catalogo2025/boinas%20inverno/bone-25025/img_08.jpg, catalogo2025/boinas%20inverno/bone-25025/img_09.jpg",,,,,,,https://hologrammeparis.com/product/casquette-25025/,,0,Cor,Sortido,1,1,Tamanho,57 | 59,1,1,Composição,"67,3% Poliéster – 32,7% Rayon",1,1,Pack,Pacote 12,1,1
,simple,Boné – 22195,BOINA OITAVA XADREZ,1,0,visible,"Boina oitavada xadrez com mistura de lã, cores sortidas","<p>Boina oitavada xadrez com mistura de lã, cores sortidas</p><p>Paquet de 12 pcs assorties: 4*Blanc, 3*Rouille, 3*Taupe, 2*Moutarde</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 70% Poliéster – 15% Algodão – 15% Lã</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,29.9,Chapéus > Boinas > Inverno,"boina oitavada, Inverno, Mistura de lã",,"catalogo2025/boinas%20inverno/bone-22195/img_01.jpg, catalogo2025/boinas%20inverno/bone-22195/img_02.jpg, catalogo2025/boinas%20inverno/bone-22195/img_03.jpg, catalogo2025/boinas%20inverno/bone-22195/img_04.jpg, catalogo2025/boinas%20inverno/bone-22195/img_05.jpg, catalogo2025/boinas%20inverno/bone-22195/img_06.jpg, catalogo2025/boinas%20inverno/bone-22195/img_07.jpg",,,,,,,https://hologrammeparis.com/product/casquette-22195/,,0,Cor,Sortido,1,1,Tamanho,57 | 59,1,1,Composição,70% Poliéster – 15% Algodão – 15% Lã,1,1,Pack,Pacote 12,1,1
,simple,Boné – 25023,BOINA OITAVADA HARRINGBONE,1,0,visible,"Boina oitavada harringbone com mistura de lã, cores sortidas","<p>Boina oitavada harringbone com mistura de lã, cores sortidas</p><p>Paquet de 12 pcs assorties: 5*Noir, 3*Beige, 3*Gris, 1*Marron</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,29.9,Chapéus > Boinas > Inverno,"boina oitavada, Inverno, Mistura de lã",,"catalogo2025/boinas%20inverno/bone-25023/img_01.jpg, catalogo2025/boinas%20inverno/bone-25023/img_02.jpg, catalogo2025/boinas%20inverno/bone-25023/img_03.jpg, catalogo2025/boinas%20inverno/bone-25023/img_04.jpg, catalogo2025/boinas%20inverno/bone-25023/img_05.jpg, catalogo2025/boinas%20inverno/bone-25023/img_06.jpg, catalogo2025/boinas%20inverno/bone-25023/img_07.jpg",,,,,,,https://hologrammeparis.com/product/casquette-25023/,,0,Cor,Sortido,1,1,Tamanho,57 | 59,1,1,Composição,"51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã",1,1,Pack,Pacote 12,1,1
,simple,Boné – 18456G,BOINA PIEMONTE HARRINGBONE,1,0,visible,Lã Pura,"<p>Lã Pura</p><p>Découvrez notre Casquette - 18456MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinho, Cinza, Castanho, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,45.0,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, Lã Pura",,"catalogo2025/boinas%20inverno/bone-18456g/img_01.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_02.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_03.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_04.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_05.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_06.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_07.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_08.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_09.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_10.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_11.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_12.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_13.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_14.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_15.jpg, catalogo2025/boinas%20inverno/bone-18456g/img_16.jpg",,,,,,,https://hologrammeparis.com/product/casquette-18456mi/,,0,Cor,Marinho | Cinza | Castanho | Verde,1,1,Tamanho,55 | 56 | 57 | 58 | 59 | 60 | 61,1,1,Composição,100% Lã,1,1,Pack,Unitário,1,1
,simple,Boné – 18439OL,BOINA PURE WOOL QUADRADOS,1,0,visible,Lã Pura,"<p>Lã Pura</p><p>Découvrez notre Casquette - 18439OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Oliva</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,45.0,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, Lã Pura",,"catalogo2025/boinas%20inverno/bone-18439ol/img_01.jpg, catalogo2025/boinas%20inverno/bone-18439ol/img_02.jpg, catalogo2025/boinas%20inverno/bone-18439ol/img_03.jpg, catalogo2025/boinas%20inverno/bone-18439ol/img_04.jpg",,,,,,,https://hologrammeparis.com/product/casquette-18439ol/,,0,Cor,Oliva,1,1,Tamanho,55 | 56 | 57 | 58 | 59 | 60 | 61,1,1,Composição,100% Lã,1,1,Pack,Unitário,1,1
,simple,"Boné – 18438MC
18502MI",BOINA OITAVA HARRIS TWEED,1,0,visible,Harris Tweed 100% lã virgem,"<p>Harris Tweed 100% lã virgem</p><p>Harris Tweed 100% Laine vierge</p><ul><li><strong>Cor</strong>: Multicolorido</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,85.0,Chapéus > Boinas > Inverno,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",,"catalogo2025/boinas%20inverno/bone-18438mc-18502mi/img_01.jpg, catalogo2025/boinas%20inverno/bone-18438mc-18502mi/img_02.jpg, catalogo2025/boinas%20inverno/bone-18438mc-18502mi/img_03.jpg, catalogo2025/boinas%20inverno/bone-18438mc-18502mi/img_04.jpg",,,,,,,https://hologrammeparis.com/product/casquette-18438mc/,,0,Cor,Multicolorido,1,1,Tamanho,55 | 56 | 57 | 58 | 59 | 60 | 61,1,1,Composição,100% Lã,1,1,Pack,Unitário,1,1
,simple,"Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA",BOINA PIEMONTE BOMBAZINE,1,0,visible,"Boina Piemonte em 100% algodão bombazine, fabricada na Itália","<p>Boina Piemonte em 100% algodão bombazine, fabricada na Itália</p><p>Découvrez notre Casquette - 18106MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul , Bege, Castanho, Cinza, Preto, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% algodão (BOMBAZINE)</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,27.5,Chapéus > Boinas > Inverno,"Rótulo: Fabricado na Itália, bombazine",,catalogo2025/boinas%20inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_01.jpg,,,,,,,https://hologrammeparis.com/product/casquette-18106e/,,0,Cor,Azul | Bege | Castanho | Cinza | Preto | Verde,1,1,Tamanho,55 | 56 | 57 | 58 | 59 | 60 | 61,1,1,Composição,100% algodão (BOMBAZINE),1,1,Pack,Unitário,1,1
,simple,Boné – 18153K,BOINA MISTURA DE LÃ QUADRADOS,1,0,visible,"Boina com mistura de lã e padrão quadrados, fabricada na Itália","<p>Boina com mistura de lã e padrão quadrados, fabricada na Itália</p><p>Découvrez notre Casquette - 18153K au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Cáqui</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 16% Poliéster – 25% Acrílico – 59% Lã</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,35.0,Chapéus > Boinas > Inverno,Rótulo: Fabricado na Itália,,"catalogo2025/boinas%20inverno/bone-18153k/img_01.jpg, catalogo2025/boinas%20inverno/bone-18153k/img_02.jpg, catalogo2025/boinas%20inverno/bone-18153k/img_03.jpg, catalogo2025/boinas%20inverno/bone-18153k/img_04.jpg",,,,,,,https://hologrammeparis.com/product/casquette-18153k/,,0,Cor,Cáqui,1,1,Tamanho,55 | 56 | 57 | 58 | 59 | 60 | 61,1,1,Composição,16% Poliéster – 25% Acrílico – 59% Lã,1,1,Pack,Unitário,1,1
,simple,"Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA",BOINA PIEMONTE CASHMERE,1,0,visible,WOOL &amp; CASHEMERE,"<p>WOOL &amp; CASHEMERE</p><p>Découvrez notre Casquette - 18445MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinho, Cáqui, Preto, Cinza, Camel</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 70% Lã – 20% Poliamida – 10% Caxemira</li></ul>",,,taxable,,1,10,2,0,0,0.2,,,,1,,,29.9,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, cashmere",,"catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_01.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_02.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_03.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_04.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_05.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_06.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_07.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_08.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_09.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_10.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_11.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_12.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_13.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_14.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_15.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_16.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_17.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_18.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_19.jpg, catalogo2025/boinas%20inverno/bone-18445mi-bone-18445k-bone-18445n-bone-18445gr-bone-18445ca/img_20.jpg",,,,,,,https://hologrammeparis.com/product/casquette-18445mi/,,0,Cor,Marinho | Cáqui | Preto | Cinza | Camel,1,1,Tamanho,55 | 56 | 57 | 58 | 59 | 60 | 61,1,1,Composição,70% Lã – 20% Poliamida – 10% Caxemira,1,1,Pack,Unitário,1,1
