Slug,Occurrences,Supplier_Code,Name,Brand,Price,Sheet,Sheet_Row
"hologramme",4,"HOLOGRAMME","VISEIRA  FEMININA","HOLOGRAMME",8.0,"COWBOY",16
"hologramme",4,"HOLOGRAMME","VISEIRA  FEMININA","HOLOGRAMME",8.0,"COWBOY",16
"hologramme",4,"HOLOGRAMME","VISEIRA  FEMININA","HOLOGRAMME",8.0,"COWBOY",16
"hologramme",4,"HOLOGRAMME","VISEIRA  FEMININA","HOLOGRAMME",8.0,"COWBOY",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
"velen",8,"VELEN","CHAPÉU TIROLÊS EM CORTIÇA","MONTADO",45.0,"CORTIÇA",16
