sku,nome,categoria,price,priority,has_long_desc,has_specs,has_tags,has_composition,has_materials,completeness_score,gaps,supplier_url,can_auto_scrape
N/A,N/A,UNCATEGORIZED,€27.50,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€29.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€29.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€29.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€45.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€45.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€85.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€27.50,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€35.00,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€29.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€45.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€24.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€24.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€55.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€85.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€85.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€29.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€45.00,HIGH,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
N/A,N/A,UNCATEGORIZED,€29.90,LOW,YES,YES,YES,NO,NO,3/5,"composition, materials",,NO
