sku,nome,categoria,price,priority,has_short_desc,has_long_desc,has_specs,has_tags,has_composition,completeness_score,gaps,supplier_url,can_auto_scrape
Boné – 22182,BOINA BICO DE PATO AJUSTÁVEL,BOINAS INVERNO,€27.50,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-22224/,YES
Boné – 25025,BOINA OITAVA INVERNO,BOINAS INVERNO,€29.90,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-25025/,YES
Boné – 22195,BOINA OITAVA XADREZ,BOINAS INVERNO,€29.90,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-22195/,YES
Boné – 25023,BOINA OITAVADA HARRINGBONE,BOINAS INVERNO,€29.90,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-25023/,YES
Boné – 18456G,BOINA PIEMONTE HARRINGBONE,BOINAS INVERNO,€45.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18456mi/,YES
Boné – 18439OL,BOINA PURE WOOL QUADRADOS,BOINAS INVERNO,€45.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18439ol/,YES
"Boné – 18438MC
18502MI",BOINA OITAVA HARRIS TWEED,BOINAS INVERNO,€85.00,LOW,YES,NO,YES,YES,YES,4/5,long_desc,https://hologrammeparis.com/product/casquette-18438mc/,YES
"Boné – 18106MI
Boné – 18106K
Boné – 18106G
18106MA",BOINA PIEMONTE BOMBAZINE,BOINAS INVERNO,€27.50,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18106e/,YES
Boné – 18153K,BOINA MISTURA DE LÃ QUADRADOS,BOINAS INVERNO,€35.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18153k/,YES
"Boné – 18445MI
Boné – 18445K
Boné – 18445N
Boné – 18445GR
Boné – 18445CA",BOINA PIEMONTE CASHMERE,BOINAS INVERNO,€29.90,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18445mi/,YES
Boné – 18440OL,BOINA OITAVADA PURE WOOL XADREZ,BOINAS INVERNO,€45.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18440ol/,YES
"Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,BOINAS INVERNO,€24.90,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/bonnet-22100/,YES
"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,BOINAS INVERNO,€24.90,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/bonnet-344974/?attribute_pa_couleur=gris-fonce,YES
"Boné – 18508MI
18452",BOINA SEXTAVADA PURE WOOL,BOINAS INVERNO,€55.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18508mi/,YES
Boné – 18500MI,BOINA HARRIS TWEED QUADRADOS,BOINAS INVERNO,€85.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18500mi/,YES
Boné – 18501MI,BOINA HARRIS TWEED PATCHWORK,BOINAS INVERNO,€85.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18501mi/,YES
"Boné – 18074
Boné – 18074K
Boné – 18074GC",BOINA PIEMONTE MIX WOOL,BOINAS INVERNO,€29.90,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18074bl/,YES
"Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G",BOINA SEXTAVADA COM BOMBAZINE,BOINAS INVERNO,€45.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18279k/,YES
Boné – 22174,BOINA OITAVADA HARRINGBONE,BOINAS INVERNO,€29.90,LOW,YES,NO,YES,YES,YES,4/5,long_desc,https://hologrammeparis.com/product/casquette-22174/,YES
18220MI,BOINA OITAVADA PURE WOOL,BOINAS INVERNO,€45.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18220mi-new/,YES
HOLOGRAMME,VISEIRA  FEMININA,COWBOY,€8.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18474ol/,YES
Boné – 12805,BOINA OITAVADA LINHO,BOINAS VERÃO,€27.50,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-12805/,YES
"Boné – 18110EC
Boné – 18110OL",BOINA PIEMONTE LINHO E ALGODÃO,BOINAS VERÃO,€27.50,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18110ec/,YES
Boné – 18474,BOINA SEXTAVADA CORES NA PALA,BOINAS VERÃO,€45.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18474ol/,YES
