sku,nome,categoria,price,priority,has_short_desc,has_long_desc,has_specs,has_tags,has_composition,completeness_score,gaps,supplier_url,can_auto_scrape
"Boné – 18438MC
18502MI",BOINA OITAVA HARRIS TWEED,BOINAS INVERNO,€85.00,LOW,YES,NO,YES,YES,YES,4/5,long_desc,https://hologrammeparis.com/product/casquette-18438mc/,YES
Boné – 22174,BOINA OITAVADA HARRINGBONE,BOINAS INVERNO,€29.90,LOW,YES,NO,YES,YES,YES,4/5,long_desc,https://hologrammeparis.com/product/casquette-22174/,YES
"Boné – 15266F
Boné – 15266C",BOINA SEXTAVADA ALGODÃO,BOINAS VERÃO,€16.90,LOW,YES,YES,YES,YES,NO,4/5,composition,https://hologrammeparis.com/fr/product/casquette-15266f/,YES
Casquette – 18534N,"Étiquette : verão, Fabriqué en Italie, Linho, algodão",BOINAS VERÃO,€37.50,LOW,YES,NO,YES,YES,NO,3/5,"long_desc, composition",,NO
"Boné – 18161N
Boné – 18161M",BOINA SEXTAVADA PELE,ARTIGOS EM PELE,€89.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-18161n/,YES
Gants – 17120,LUVAS FEMININAS,ARTIGOS EM PELE,€35.00,LOW,NO,YES,YES,YES,NO,3/5,"short_desc, composition",https://hologrammeparis.com/product/gants-17120n/?attribute_pa_couleur=marron,YES
Gants – 17119,LUVAS MASCULINAS,ARTIGOS EM PELE,€35.00,LOW,NO,YES,YES,YES,NO,3/5,"short_desc, composition",https://hologrammeparis.com/product/gants-17119n/,YES
Porte-Monnaie – 5657,CARTEIRAS,ARTIGOS EM PELE,€35.00,LOW,NO,YES,YES,YES,NO,3/5,"short_desc, composition",https://hologrammeparis.com/product/porte-monnaie-5657/,YES
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,CORTIÇA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,NO
