Folha,Nome produto,SKU/Código,URL fornecedor,Links adicionais,Motivo
BOINAS INVERNO,BOINA OITAVADA HARRINGBONE,Boné – 22174,https://hologrammeparis.com/product/casquette-22174/,,404 Client Error: Not Found for url: https://hologrammeparis.com/product/casquette-22174/
BOINAS VERÃO,"Étiquette : verão, Fabriqué en Italie, Linho, algodão",Casquette – 18534N,,,Sem URL no Excel
ARTIGOS EM PELE,CHAPEU AUSTRALIANO,chapeu-australiano,,,Sem URL no Excel
CORTIÇA,BOINA COM REDE,VELEN,https://vips-velen.pt/?product=boina-bico-de-pato-com-rede-lateral-em-cortica,,404 Client Error: Not Found for url: http://velen-cork.com/?product=boina-bico-de-pato-com-rede-lateral-em-cortica
CORTIÇA,BOINA CORTIÇA,VELEN,https://vips-velen.pt/?product=boina-bico-de-pato-com-rede-lateral-em-cortica,,404 Client Error: Not Found for url: http://velen-cork.com/?product=boina-bico-de-pato-com-rede-lateral-em-cortica
CORTIÇA,CHAPEU COWBOY EM CORTIÇA,VELEN,https://vips-velen.pt/?product=chapeu-cowboy-em-cortica,,404 Client Error: Not Found for url: http://velen-cork.com/?product=chapeu-cowboy-em-cortica
CORTIÇA,PANAMA EM CORTIÇA,VELEN,https://vips-velen.pt/?product=panama-em-cortica,,404 Client Error: Not Found for url: http://velen-cork.com/?product=panama-em-cortica
CORTIÇA,CHAPÉU DE COWBOY EM CORTIÇA COM REDE,VELEN,https://vips-velen.pt/?product=chapeu-de-cowboy-em-cortica-com-rede-beige,,404 Client Error: Not Found for url: http://velen-cork.com/?product=chapeu-de-cowboy-em-cortica-com-rede-beige
CORTIÇA,CHAPÉU DE COWBOY EM CORTIÇA COM REDE,VELEN,https://vips-velen.pt/?product=chapeu-safari-em-cortica,,404 Client Error: Not Found for url: http://velen-cork.com/?product=chapeu-safari-em-cortica
CORTIÇA,CHAPÉU TIROLÊS EM CORTIÇA,VELEN,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,,404 Client Error: Not Found for url: http://velen-cork.com/?product=chapeu-tiroles-em-cortica
DIVERSOS,CHAPEU COLONIAL,"chapeu colonial
pith helmet",,,Sem URL no Excel
FEMININO, CHAPÉUS DE PALHA FEMININOS,Palha – 12403,https://hologrammeparis.com/product/paille-12403/,,404 Client Error: Not Found for url: https://hologrammeparis.com/product/paille-12403/
FEMININO,BONÉS DE VERÃO PARA MULHERES,Boné – 2018016,https://hologrammeparis.com/product/casquette-2018016/,,404 Client Error: Not Found for url: https://hologrammeparis.com/product/casquette-2018016/
FEMININO,CHAPEU CLOCHE,chapeu-cloche,,,Sem URL no Excel
CERIMÓNIA,CASQUETE,casquete,,,Sem URL no Excel
CERIMÓNIA,CHAPÉU CERIMÓNIA PERÓLAS,chapeu-cerimonia-perolas,,,Sem URL no Excel
CERIMÓNIA,CHAPÉU CERIMÓNIA FLORES,chapeu-cerimonia-flores,,,Sem URL no Excel
CERIMÓNIA,BONÉS DE VERÃO PARA MULHERES,Boné – 2018016,https://hologrammeparis.com/product/casquette-2018016/,,404 Client Error: Not Found for url: https://hologrammeparis.com/product/casquette-2018016/
À PROVA D´ÁGUA,CHAPEU DOBRAVEL,SOLID,,,Sem URL no Excel
À PROVA D´ÁGUA,CHAPEU DOBRAVEL,SOLID,,,Sem URL no Excel
PROTEÇÃO SOLAR,BOINA UV ,SOLID,,,Sem URL no Excel
PROTEÇÃO SOLAR,CHAPÉU UV,SOLID,,,Sem URL no Excel
CHAPÉUS EM TECIDO,BUCKET HAT REVERSIVEL,bucket-hat-reversivel,,,Sem URL no Excel
VISEIRAS,VISEIRA  FEMININA,HOLOGRAMME,,,Sem URL no Excel
COWBOY,CHAPÉU COWBOY,chapeu-cowboy,,,Sem URL no Excel
COWBOY,CHAPÉU COWBOY,chapeu-cowboy,,,Sem URL no Excel
